genre,song_name,danceability,energy,loudness,valence,,,,,,,
Pop,Heathens,0.732,0.396,-9.348,0.548,,,,,,,
Pop,"Relax, Take It Easy",0.694,0.694,-8.21,0.608,,,,,,,
Pop,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",0.893,0.745,-3.105,0.872,,,,,,,
Pop,Wrecking Ball,0.53,0.422,-6.262,0.349,,,,,,,
Pop,Havana,0.768,0.517,-4.323,0.418,,,,,,,
Pop,We Need Hope,0.509,0.81,-5.951,0.36,,,,,,,
Pop,Run the World (Girls),0.733,0.899,-4.237,0.76,,,,,,,
Pop,Elastic Heart,0.421,0.791,-4.998,0.499,,,,,,,
Pop,Ain't My Fault,0.576,0.782,-4.825,0.355,,,,,,,
Pop,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",0.667,0.83,-5.715,0.701,,,,,,,
Pop,Smile,0.632,0.639,-5.938,0.733,,,,,,,
Pop,I'm Not The Only One,0.453,0.496,-5.785,0.501,,,,,,,
Pop,PILLOWTALK,0.584,0.7,-4.275,0.438,,,,,,,
Pop,Trying to Go Back,0.641,0.706,-11.807,0.404,,,,,,,
Pop,Apologize,0.593,0.74,-6.12,0.502,,,,,,,
Pop,Bye Bye Bye,0.61,0.926,-4.843,0.861,,,,,,,
Pop,7 Years,0.765,0.473,-5.829,0.34,,,,,,,
Pop,Mirrors,0.574,0.512,-6.664,0.512,,,,,,,
Pop,E.T.,0.602,0.863,-5.423,0.732,,,,,,,
Pop,Take Me to Church,0.575,0.664,-5.303,0.437,,,,,,,
Pop,The Lazy Song,0.738,0.804,-3.851,0.949,,,,,,,
Pop,This Is What You Came For (feat. Rihanna),0.63,0.928,-2.787,0.465,,,,,,,
Pop,Cold Water (feat. Justin Bieber & MÃ˜),0.608,0.798,-5.092,0.501,,,,,,,
Pop,Dark Horse,0.645,0.585,-6.122,0.353,,,,,,,
Pop,Habits (Stay High),0.733,0.65,-3.539,0.348,,,,,,,
Pop,Can't Feel My Face,0.705,0.769,-5.526,0.583,,,,,,,
Pop,Thinking out Loud,0.781,0.445,-6.061,0.591,,,,,,,
Pop,Elevate,0.653,0.897,-3.519,0.043,,,,,,,
Pop,Only Girl (In The World),0.789,0.716,-4.241,0.611,,,,,,,
Pop,Maps,0.742,0.713,-5.522,0.879,,,,,,,
Pop,Radioactive,0.448,0.784,-3.686,0.236,,,,,,,
Pop,Just the Way You Are,0.637,0.843,-5.413,0.434,,,,,,,
Pop,Destination Calabria,0.71,0.54,-10.135,0.373,,,,,,,
Pop,Without You (feat. Usher),0.608,0.614,-3.727,0.402,,,,,,,
Pop,Mr. Saxobeat - Radio Edit,0.723,0.925,-4.239,0.781,,,,,,,
Pop,Summer,0.596,0.856,-3.556,0.743,,,,,,,
Pop,Mercy,0.568,0.686,-4.901,0.4,,,,,,,
Pop,The Sweet Escape,0.756,0.77,-3.502,0.73,,,,,,,
Pop,Come & Get It,0.546,0.787,-4.1,0.573,,,,,,,
Pop,Dancing On My Own,0.682,0.173,-8.749,0.236,,,,,,,
Pop,A Thousand Miles,0.559,0.845,-3.871,0.304,,,,,,,
Pop,Girls Like You (feat. Cardi B),0.851,0.541,-6.825,0.448,,,,,,,
Pop,Forever Mine,0.66,0.55,-7.251,0.392,,,,,,,
Pop,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",0.596,0.73,-4.091,0.525,,,,,,,
Pop,Back To You,0.6,0.683,-6.271,0.494,,,,,,,
Pop,Only You (with Little Mix),0.607,0.74,-4.793,0.219,,,,,,,
